    ddm_tol=1e-12,
SCF ddm_tol = 1e-12
SCF ddm_tol = 1e-10
cycle= 173 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 1.5e-12  |ddm|= 1.41e-11
cycle= 174 E= -37.2967953880986  delta_E=    0  |g|= 1.37e-12  |ddm|= 4.47e-12
cycle= 175 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 8.58e-13  |ddm|= 1.09e-11
cycle= 176 E= -37.2967953880986  delta_E= 4.97e-14  |g|= 1.51e-12  |ddm|= 1.57e-11
cycle= 177 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 3.34e-12  |ddm|= 3.13e-11
cycle= 178 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.85e-12  |ddm|= 1.88e-11
cycle= 179 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 2.52e-12  |ddm|= 9.62e-12
cycle= 180 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 1.56e-12  |ddm|= 1.71e-11
cycle= 181 E= -37.2967953880986  delta_E= 7.11e-15  |g|= 7.37e-13  |ddm|= 1.18e-11
cycle= 182 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 2.52e-12  |ddm|= 2.72e-11
cycle= 183 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 1.86e-12  |ddm|= 1.71e-11
cycle= 184 E= -37.2967953880986  delta_E= -1.42e-14  |g|= 1.22e-12  |ddm|= 9.15e-12
cycle= 185 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 1.34e-12  |ddm|= 5.7e-12
cycle= 186 E= -37.2967953880987  delta_E= -7.82e-14  |g|= 1.89e-12  |ddm|= 1.32e-11
cycle= 187 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 1.66e-12  |ddm|= 1.38e-11
cycle= 188 E= -37.2967953880987  delta_E= -7.11e-15  |g|= 1.58e-12  |ddm|= 1.04e-11
cycle= 189 E= -37.2967953880987  delta_E= 7.11e-15  |g|= 2.05e-12  |ddm|= 1.48e-11
cycle= 190 E= -37.2967953880987  delta_E= 2.13e-14  |g|= 1.4e-12  |ddm|= 9.26e-12
cycle= 191 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 2.03e-12  |ddm|= 3.47e-12
cycle= 192 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 2.94e-12  |ddm|= 1.97e-11
cycle= 193 E= -37.2967953880987  delta_E= 2.84e-14  |g|= 2.63e-12  |ddm|= 3.18e-12
cycle= 194 E= -37.2967953880986  delta_E= 2.13e-14  |g|= 1.75e-12  |ddm|= 2.86e-11
cycle= 195 E= -37.2967953880986  delta_E= 7.11e-15  |g|= 1.6e-12  |ddm|= 6.43e-12
cycle= 196 E= -37.2967953880986  delta_E= -1.42e-14  |g|= 2.42e-12  |ddm|= 6.64e-12
cycle= 197 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 1.36e-12  |ddm|= 1.6e-11
cycle= 198 E= -37.2967953880986  delta_E= 4.26e-14  |g|= 1.65e-12  |ddm|= 3.25e-12
cycle= 199 E= -37.2967953880987  delta_E= -5.68e-14  |g|= 1.89e-12  |ddm|= 1.13e-11
cycle= 200 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 1.34e-12  |ddm|= 7.62e-12
cycle= 201 E= -37.2967953880987  delta_E= 2.84e-14  |g|= 1.44e-12  |ddm|= 4.48e-12
cycle= 202 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 1.2e-12  |ddm|= 9.93e-12
cycle= 203 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 1.8e-12  |ddm|= 5.22e-12
cycle= 204 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 1.99e-12  |ddm|= 1.09e-11
cycle= 205 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 4.85e-13  |ddm|= 1.08e-11
cycle= 206 E= -37.2967953880986  delta_E= 3.55e-14  |g|= 1.62e-12  |ddm|= 1.44e-11
cycle= 207 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 1.19e-12  |ddm|= 1.59e-11
cycle= 208 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 2.54e-12  |ddm|= 7.86e-12
cycle= 209 E= -37.2967953880986  delta_E= 4.97e-14  |g|= 2.38e-12  |ddm|= 1.4e-11
cycle= 210 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 1.97e-12  |ddm|= 1.08e-11
cycle= 211 E= -37.2967953880987  delta_E=    0  |g|= 6.56e-13  |ddm|= 7.78e-12
cycle= 212 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 9.86e-13  |ddm|= 6.53e-12
cycle= 213 E= -37.2967953880986  delta_E= 4.97e-14  |g|= 8.04e-13  |ddm|= 1.07e-11
cycle= 214 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 3.01e-12  |ddm|= 1.24e-11
cycle= 215 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 1.41e-12  |ddm|= 2.23e-11
cycle= 216 E= -37.2967953880987  delta_E= -1.42e-14  |g|= 2.13e-12  |ddm|= 1.38e-11
cycle= 217 E= -37.2967953880987  delta_E= 1.42e-14  |g|= 2.63e-12  |ddm|= 2.29e-11
cycle= 218 E= -37.2967953880987  delta_E= -2.84e-14  |g|= 1.94e-12  |ddm|= 1.58e-11
cycle= 219 E= -37.2967953880987  delta_E= 2.84e-14  |g|= 2.82e-12  |ddm|= 1.58e-11
cycle= 220 E= -37.2967953880987  delta_E= -2.13e-14  |g|= 3.39e-12  |ddm|= 4.04e-11
cycle= 221 E= -37.2967953880986  delta_E= 4.97e-14  |g|= 2.05e-12  |ddm|= 2.1e-11
cycle= 222 E= -37.2967953880986  delta_E= -1.42e-14  |g|= 2.61e-12  |ddm|= 1.24e-11
cycle= 223 E= -37.2967953880986  delta_E= 2.84e-14  |g|= 1.92e-12  |ddm|= 1.62e-11
cycle= 224 E= -37.2967953880986  delta_E= -1.42e-14  |g|= 3.82e-12  |ddm|= 1.73e-11
cycle= 225 E= -37.2967953880987  delta_E= -3.55e-14  |g|= 1.61e-12  |ddm|= 1.86e-11
